code,rs_percentile_12m,rs_percentile_3m,rs_below_ma,rs_days_below_ma,rs_frac_below_ma,rs_pct_off_high
HK.00001,87.0,83,0,0,0.3,0.022
HK.00002,79.0,81,1,1,0.1,0.1681
HK.00003,61.0,57,1,9,0.55,0.2311
HK.00004,41.0,30,1,37,1.0,0.4508
HK.00005,87.0,88,0,0,0.0,0.0356
HK.00006,73.0,66,1,2,0.35,0.1883
HK.00007,64.0,72,1,4,0.2,0.3125
HK.00008,73.0,64,1,1,0.4,0.0374
HK.00010,48.0,36,1,34,1.0,0.1625
HK.00012,56.0,47,0,0,0.95,0.17
HK.00013,27.0,55,0,0,0.45,0.6063
HK.00014,71.0,62,1,5,0.5,0.1435
HK.00016,80.0,59,0,0,0.7,0.1157
HK.00017,45.0,17,1,39,1.0,0.4435
HK.00018,31.0,50,1,7,0.4,0.4777
HK.00019,84.0,81,0,0,0.1,0.0563
HK.00020,15.0,16,1,44,1.0,0.4917
HK.00021,28.0,29,1,7,0.65,0.6614
HK.00022,0.0,1,1,58,1.0,
HK.00023,72.0,65,0,0,0.45,0.0591
HK.00025,84.0,92,0,0,0.0,0.1905
HK.00026,71.0,76,1,3,0.2,0.0971
HK.00027,42.0,63,1,1,0.25,0.317
HK.00028,33.0,30,1,1,0.75,0.3551
HK.00029,34.0,41,1,7,0.65,0.3669
HK.00030,67.0,89,1,1,0.05,0.1412
HK.00031,58.0,25,1,8,0.4,
HK.00032,51.0,47,1,7,0.4,0.2299
HK.00033,48.0,72,1,4,0.2,
HK.00034,87.0,84,0,0,0.15,0.1847
HK.00035,48.0,52,1,3,0.55,0.5459
HK.00036,76.0,72,1,4,0.2,
HK.00037,70.0,66,1,2,0.15,0.3605
HK.00038,58.0,47,1,5,0.8,0.2878
HK.00039,20.0,72,1,4,0.2,0.6742
HK.00040,66.0,67,1,6,0.3,0.102
HK.00041,69.0,46,1,8,0.85,0.1017
HK.00042,29.0,6,1,8,0.95,0.5489
HK.00045,54.0,59,1,3,0.65,0.3099
HK.00046,42.0,77,1,1,0.1,0.5318
